id,question,anchor_used,hit_rank,top1_preview,error
037,What is that top speed in km per hour?,About 49 km per hour,,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
038,How high can a cat jump relative to its own height in a single bound?,Up to five times its height,,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
039,What record cat survived the longest non fatal fall?,Andy,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
040,From what floor did Andy fall?,16th floor,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
041,About how high was Andys fall?,About 200 feet,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
042,What is the richest cat named in the text?,Blackie,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
043,How much money was Blackie left?,15 million pounds,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
044,Who left Blackie the money?,Ben Rea,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
045,How many toes do cats have on each front paw?,Five,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
046,How many toes do cats have on each back paw?,Four,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
047,What is the term for cats born with extra toes?,Polydactyl,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
048,Do extra toes in polydactyl cats harm the cat according to the text?,Do,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
049,What should you do with a polydactyl cats claws?,Keep them trimmed,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
050,What is the inner eyelid of a cat called?,Nictitating membrane,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
051,What does the nictitating membrane help protect the eyes from?,Dryness and damage,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
052,When might the inner eyelid be visible to an observer?,When the cat is ill,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
053,Can a cat see directly under its nose?,Can,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
054,Why can a cat miss tidbits on the floor directly under it?,It cannot see under its nose,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
055,What eye sign indicates a frightened or excited cat?,Large round pupils,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
056,What eye sign indicates an angry cat?,Narrow pupils,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
057,Is pupil size related only to light levels?,No it also relates to emotions,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
058,Can cats see blue green and red according to recent studies?,Can,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
059,What disability is common in white cats with blue eyes?,Deafness,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
060,If a white cat has only one blue eye where is it likely deaf?,In the ear closest to the blue eye,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
061,Do white cats with orange eyes have the same deafness issue?,Do,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
062,Why are white cats with white ears at higher risk outdoors?,They are prone to sunburn,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
063,Frequent sunburns in white cats can lead to what?,Skin cancer,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
064,What prevention measures are suggested for sunburn prone cats?,Sunscreen or keeping indoors,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
065,How high can a cat jump relative to its height in another statement?,Even seven times as high as it is tall,2,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
066,What absorbs shock when a cat lands from a jump?,Footpads,3,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
067,What bone do cats lack that helps them squeeze through openings?,A true collarbone,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
068,What rule of thumb is given for how small an opening a cat can fit through?,Any space its head can fit through,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
069,If left to her own devices how many kittens may a female cat have every four months?,Three to seven,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
070,How long is a cats pregnancy?,About 58 to 65 days,,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
071,Who teaches kittens to use the litter box?,Mother cats,3,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
072,Early treatment of kittens influences what later?,Personality traits,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
073,Is the cat a social animal according to the text?,Is,1,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
074,What does a pet cat do in response to speech?,Respond and answer,4,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
075,What companionship do cats seem to enjoy?,Human companionship,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
076,What average lifespan is given for a domestic cat?,14 years,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
077,When well treated how long can a cat live according to the text?,Twenty years or more,,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
078,What effect does neutering have on cat lifespan?,Extends by two or three years,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
079,Do cats get cancer according to the text?,Yes especially older cats,,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
080,Can cat cancer be treated successfully sometimes?,Can,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
081,Can cats taste sweets?,Can,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
082,Why must cats have fat in their diet?,They cannot produce it on their own,,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
083,Name one common houseplant listed as poisonous to cats.,English Ivy,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
084,Name another poisonous plant listed for cats.,Philodendron,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
085,Name another poisonous plant listed for cats.,Mistletoe,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
086,Name another poisonous plant listed for cats.,Iris,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
087,Name another poisonous plant listed for cats.,Yew,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
088,According to the text is Tylenol poisonous to cats?,According,3,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
089,According to the text is chocolate poisonous to cats?,According,3,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
090,Can many cats properly digest cows milk?,Can,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
091,What can milk and milk products cause in many cats?,Diarrhea,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
092,The average cat food meal is equivalent to about how many mice?,Five mice,2,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
093,How can cats get tapeworms according to the text?,By eating fleas,,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
094,How else can cats get tapeworms according to the text?,By eating mice,,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
095,How do tapeworms reproduce according to the text?,By shedding a link from the end of their body,,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
096,Where do tapeworm eggs end up in the cycle described?,Injected by flea larvae,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
097,How could humans get these tapeworms according to the text?,By eating infected fleas,,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
098,What should be done for cats with tapeworms?,Dewormed by a veterinarian,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
099,Though rare cats can contract what type of heart worms?,Canine heart worms,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
100,What is said about AB blood groups in cats?,Cats have AB blood groups like people,,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
101,A form of what human disease exists in cats?,AIDS,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
102,In cats what determines Siamese point color according to the text?,Heat or temperature,,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
103,Why are Siamese kittens born white according to the text?,Uterus heat prevents darkening,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
104,What are people allergic to when they say they are allergic to cats?,Cat saliva or cat dander,,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
105,Regular bathing of the resident cat helps allergic people do what?,Tolerate it better,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
106,Cat allergens are related to what according to the text?,Scent glands,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
107,Where are cat scent glands mentioned?,Faces and base of tails,,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
108,Which cats generate the most scent gland secretion?,Entire male cats,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
109,Which cats might allergic people tolerate best according to the text?,Spayed female cats,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
110,According to the text cats think humans are what?,Big cats,1,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
111,Cats are subject to what dental problems?,Gum disease and dental caries,,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
112,How often should cats have teeth cleaned according to the text?,Once a year,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
113,What protozoan disease do some people fear catching from cats?,Toxoplasmosis,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
114,Toxoplasmosis can cause what serious outcome in unborn babies?,Birth defects,1,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
115,According to the text toxoplasmosis is most often caused by eating what?,Raw or rare beef,2,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
116,Who should not touch the cat litter box according to the text?,Pregnant women and immunosuppressed people,,"eating raw or rare beef. Pregnant women and people with a depressed immune system should not touch the cat litter box. Other than that, there is no reason that these people have to",
117,What is named as the ancestor of all domestic cats?,African Wild Cat,3,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
118,In ancient Egypt killing a cat was punishable by what?,Death,1,"eating raw or rare beef. Pregnant women and people with a depressed immune system should not touch the cat litter box. Other than that, there is no reason that these people have to",
119,What were placed with cat mummies in their tombs?,Embalmed mice,2,o the cat can land on its feet. Even cats without a tail have this ability. A cat rubs against people not only to be affectionate but also to mark out its territory with scent glan,
120,During the Festival of Saint John in the Middle Ages what happened to cats?,They were burned alive in town squares,,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
121,Where was the first cat show mentioned?,Crystal Palace in London,4,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
122,In what year was the first cat show mentioned?,1871,1,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
123,About how many distinct domestic cat breeds are stated today?,About 100,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
124,Cats bury their feces for what purpose?,To cover trails from predators,,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
125,How many hours per day do cats sleep according to another line?,16 to 18 hours,1,"eating raw or rare beef. Pregnant women and people with a depressed immune system should not touch the cat litter box. Other than that, there is no reason that these people have to",
126,Even while asleep cats are still alert to what?,Incoming stimuli,1,"eating raw or rare beef. Pregnant women and people with a depressed immune system should not touch the cat litter box. Other than that, there is no reason that these people have to",
127,Besides smelling with their nose cats can smell with what organ?,Jacobsons organ,,"eating raw or rare beef. Pregnant women and people with a depressed immune system should not touch the cat litter box. Other than that, there is no reason that these people have to",
128,Where is Jacobsons organ located?,Upper surface of the mouth,1,"eating raw or rare beef. Pregnant women and people with a depressed immune system should not touch the cat litter box. Other than that, there is no reason that these people have to",
129,What does chlorine in fresh tap water do to cats noses?,Irritates sensitive parts,1,"eating raw or rare beef. Pregnant women and people with a depressed immune system should not touch the cat litter box. Other than that, there is no reason that these people have to",
130,How long should tap water sit before giving it to a cat?,24 hours,1,"eating raw or rare beef. Pregnant women and people with a depressed immune system should not touch the cat litter box. Other than that, there is no reason that these people have to",
131,Relative to its body size which cat has the biggest canines?,Clouded leopard,1,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
132,How long can the clouded leopards dagger like canines be?,1.8 inches,1,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
133,What is 1.8 inches expressed in centimeters in the text?,4.5 cm,1,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
134,How much of waking hours do cats spend cleaning themselves?,Nearly one third,,"eating raw or rare beef. Pregnant women and people with a depressed immune system should not touch the cat litter box. Other than that, there is no reason that these people have to",
135,How many teeth do grown cats have?,30 teeth,2,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
136,How many temporary teeth do kittens have?,About 26,2,"teach their kittens to use the litter box. The way you treat kittens in the early stages of its life will render it’s personality traits later in life. Contrary to popular belief, ",
137,At about what age do kittens lose temporary teeth?,About 6 months,2,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
138,What cat had the known record for the most kittens?,Dusty,1,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
139,About how many kittens did Dusty have in her lifetime?,More than 420,1,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
140,What is the largest cat breed mentioned?,Ragdoll,1,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
141,What is the weight range for male Ragdolls?,12 to 20 lbs,,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
142,What is the weight range for female Ragdolls?,10 to 15 lbs,,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
143,Cats are said to detect earthquake tremors how many minutes before humans?,10 to 15 minutes,,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
144,Compared to dogs have cats undergone major changes in domestication?,Compared,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
145,What is a female cat called?,A queen or a molly,3,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
146,What did two Russian biologists discover in the 1930s about Siamese kittens?,Color depends on body temperature,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
147,Above what temperature do Siamese albino genes work according to the text?,98 degrees Fahrenheit,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
148,What happens if Siamese kittens are left in a very warm room?,Points will not darken,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
149,How many feral cats are there in the US alone according to the text?,Up to 60 million,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
150,What is the oldest cat to give birth mentioned?,Kitty,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
151,How old was Kitty when she gave birth?,30 years,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
152,How many kittens did Kitty give birth to at age 30?,Two kittens,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
153,How many kittens did Kitty give birth to over her life?,218 kittens,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
154,What was the most traveled cat named?,Hamlet,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
